,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
170,18.28317494392395,0.19212882426987357,0.3551933765411377,0.04106445139092384,0,{1: 7},gini,20,,,1,100,"{'ccp_alpha': 0, 'class_weight': {1: 7}, 'criterion': 'gini', 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'n_estimators': 100}",8.979652020053082,8.485697434385138,8.150250663521085,7.9376198200855335,8.383719215454947,8.387387830699955,0.35184667295125716,345,29.154685541546854,29.022893165228933,29.092936665929365,29.080805101927968,29.078961919858443,29.086056478898307,0.04201142495881579
171,3.793695592880249,0.18171300193315112,0.12310419082641602,0.007897267735007,0,{1: 7},gini,20,,10,1,50,"{'ccp_alpha': 0, 'class_weight': {1: 7}, 'criterion': 'gini', 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'n_estimators': 50}",13.841787083456207,13.019758183426719,14.070333235033914,13.453030526471021,14.47426633239935,13.771835072157444,0.5009311524358646,115,14.332190518321905,14.152473641524736,14.116530266165302,13.96210417665057,13.773178014524275,14.067295323437358,0.18837147262530723
172,5.370067405700683,0.0953500564522531,0.1501601219177246,0.0455628864071684,0,{1: 7},gini,20,,10,1,75,"{'ccp_alpha': 0, 'class_weight': {1: 7}, 'criterion': 'gini', 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'n_estimators': 75}",13.731200235918608,12.894426422884106,13.985549985255087,13.478837929508922,14.452145701224008,13.708432054958147,0.5187950185742776,127,14.024367765243678,14.12943301629433,14.150630391506304,14.043204187709662,13.772256423489512,14.023978356848698,0.13482962510293092
173,7.298656940460205,0.235513858023208,0.23091502189636232,0.012556571055943003,0,{1: 7},gini,20,,10,1,100,"{'ccp_alpha': 0, 'class_weight': {1: 7}, 'criterion': 'gini', 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'n_estimators': 100}",13.786493659687407,12.931288705396637,13.996608670008847,13.342427370594308,14.455832473086565,13.70253017575475,0.5263998127786177,132,14.024367765243678,14.098097765980977,14.180122391801223,13.886533711800052,13.776864378663324,13.993197202697852,0.14497844633815768
174,6.418582773208618,0.16312702634804502,0.23709187507629395,0.008067659095433844,0,{1: 7},gini,20,0.7,,1,50,"{'ccp_alpha': 0, 'class_weight': {1: 7}, 'criterion': 'gini', 'max_depth': 20, 'max_features': 0.7, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'n_estimators': 50}",8.810085520495429,8.42303155411383,7.892214685933353,7.653738386668633,8.416900162217962,8.239194061885843,0.4133874149360921,346,29.07542579075426,29.048698665486988,28.99340116493401,28.975743723965053,28.972057359826003,29.01306534099326,0.04152058994275708
175,9.66609435081482,0.06021283734671639,0.35593018531799314,0.038705435691136485,0,{1: 7},gini,20,0.7,,1,75,"{'ccp_alpha': 0, 'class_weight': {1: 7}, 'criterion': 'gini', 'max_depth': 20, 'max_features': 0.7, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'n_estimators': 75}",8.876437629017989,8.330875847832498,7.86641108817458,7.963427223123433,8.155139359976404,8.23845822962498,0.3568086025429318,347,29.140861166408612,29.07726904077269,29.10215291602153,29.09739374055369,29.116747152283704,29.106884803208043,0.0211717906512845
176,12.720499181747437,0.07167313411410871,0.3483131408691406,0.040856231932858936,0,{1: 7},gini,20,0.7,,1,100,"{'ccp_alpha': 0, 'class_weight': {1: 7}, 'criterion': 'gini', 'max_depth': 20, 'max_features': 0.7, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'n_estimators': 100}",8.957534650545561,8.581539368917724,8.20185785903863,7.886005014009733,8.40583984663029,8.406555347828387,0.3597420808181346,344,29.174961291749614,29.10676104106761,29.146390916463908,29.105688059866555,29.12688465366609,29.132137192562755,0.026108109721551965
177,2.6889906406402586,0.16548183876539557,0.12471551895141601,0.00925986043330871,0,{1: 7},gini,20,0.7,10,1,50,"{'ccp_alpha': 0, 'class_weight': {1: 7}, 'criterion': 'gini', 'max_depth': 20, 'max_features': 0.7, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'n_estimators': 50}",13.992922441757594,13.454733117074609,14.1108817457977,13.600501400973307,14.60330334758885,13.952468410638412,0.4054475618121296,78,14.29440389294404,14.536791270367912,14.184730516847305,14.184207616028312,14.155638293950677,14.27115431802765,0.14105054937857486
178,3.875975513458252,0.12693015740418206,0.15311455726623535,0.042202059594420166,0,{1: 7},gini,20,0.7,10,1,75,"{'ccp_alpha': 0, 'class_weight': {1: 7}, 'criterion': 'gini', 'max_depth': 20, 'max_features': 0.7, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'n_estimators': 75}",13.650103214391034,13.414184606310823,14.114567974048953,13.368234773632208,14.44845892936145,13.799109899548892,0.4188536276590336,105,14.090724765907249,14.501769520017696,14.157081766570817,13.873631437313378,13.87455302834814,14.099552103631456,0.23101132673597938
179,5.157648611068725,0.09442917176333636,0.21158280372619628,0.04086320686891546,0,{1: 7},gini,20,0.7,10,1,100,"{'ccp_alpha': 0, 'class_weight': {1: 7}, 'criterion': 'gini', 'max_depth': 20, 'max_features': 0.7, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'n_estimators': 100}",13.819669713948688,13.388381008552049,14.051902093777647,13.397728948532665,14.367349948385193,13.805006342639249,0.37864347401354315,101,14.155238516552386,14.460296394602963,14.172749391727494,13.903122350425775,13.867180300070041,14.111717390675732,0.21467957286506395
