,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.4630652904510498,0.002580736438581124,0.10542831420898438,0.0013296788845178391,0,{1: 5},gini,3,0.5,50,1,75,"{'ccp_alpha': 0, 'class_weight': {1: 5}, 'criterion': 'gini', 'max_depth': 3, 'max_features': 0.5, 'max_leaf_nodes': 50, 'min_samples_leaf': 1, 'n_estimators': 75}",43.04995970991136,41.43835616438356,41.975806451612904,41.61290322580645,43.16532258064516,42.24846962647188,0.7235439684585598,1,42.52670832493449,42.66276960290264,42.840588472390166,42.98669891172914,42.52317613865377,42.707988290122046,0.1812871234901889
1,0.46398181915283204,0.003264566100800916,0.10504684448242188,0.0009413428993378414,0,{1: 5},gini,3,0.5,100,1,75,"{'ccp_alpha': 0, 'class_weight': {1: 5}, 'criterion': 'gini', 'max_depth': 3, 'max_features': 0.5, 'max_leaf_nodes': 100, 'min_samples_leaf': 1, 'n_estimators': 75}",43.04995970991136,41.43835616438356,41.975806451612904,41.61290322580645,43.16532258064516,42.24846962647188,0.7235439684585598,1,42.52670832493449,42.66276960290264,42.840588472390166,42.98669891172914,42.52317613865377,42.707988290122046,0.1812871234901889
2,0.4327451229095459,0.037794972336636465,0.10499835014343262,0.0010131006869397536,0,{1: 5},gini,3,0.5,150,1,75,"{'ccp_alpha': 0, 'class_weight': {1: 5}, 'criterion': 'gini', 'max_depth': 3, 'max_features': 0.5, 'max_leaf_nodes': 150, 'min_samples_leaf': 1, 'n_estimators': 75}",43.04995970991136,41.43835616438356,41.975806451612904,41.61290322580645,43.16532258064516,42.24846962647188,0.7235439684585598,1,42.52670832493449,42.66276960290264,42.840588472390166,42.98669891172914,42.52317613865377,42.707988290122046,0.1812871234901889
3,0.4435324192047119,0.030904214944064024,0.10861597061157227,0.0063650332681857704,0,{1: 5},gini,3,0.5,200,1,75,"{'ccp_alpha': 0, 'class_weight': {1: 5}, 'criterion': 'gini', 'max_depth': 3, 'max_features': 0.5, 'max_leaf_nodes': 200, 'min_samples_leaf': 1, 'n_estimators': 75}",43.04995970991136,41.43835616438356,41.975806451612904,41.61290322580645,43.16532258064516,42.24846962647188,0.7235439684585598,1,42.52670832493449,42.66276960290264,42.840588472390166,42.98669891172914,42.52317613865377,42.707988290122046,0.1812871234901889
4,0.5423678398132324,0.03372367064890777,0.1052931308746338,0.0008324404488667959,0,{1: 5},gini,6,0.5,50,1,75,"{'ccp_alpha': 0, 'class_weight': {1: 5}, 'criterion': 'gini', 'max_depth': 6, 'max_features': 0.5, 'max_leaf_nodes': 50, 'min_samples_leaf': 1, 'n_estimators': 75}",41.59951651893634,40.87429492344883,41.29032258064516,41.350806451612904,43.729838709677416,41.76895583686412,1.0077825336539799,31,44.265269098971984,44.2703084055634,44.63422007255139,44.619105199516326,44.442765014107216,44.44633355814206,0.16058225903347392
5,0.5589909553527832,0.007968786310906171,0.10535836219787598,0.0010174603858478274,0,{1: 5},gini,6,0.5,100,1,75,"{'ccp_alpha': 0, 'class_weight': {1: 5}, 'criterion': 'gini', 'max_depth': 6, 'max_features': 0.5, 'max_leaf_nodes': 100, 'min_samples_leaf': 1, 'n_estimators': 75}",41.59951651893634,40.87429492344883,41.29032258064516,41.350806451612904,43.770161290322584,41.77702035299316,1.0234807882561905,28,44.28542632533763,44.290465631929045,44.65437323659815,44.63925836356308,44.442765014107216,44.46245771430702,0.16087214102879507
6,0.5406598567962646,0.03254482121476435,0.10474209785461426,0.0004060791377302227,0,{1: 5},gini,6,0.5,150,1,75,"{'ccp_alpha': 0, 'class_weight': {1: 5}, 'criterion': 'gini', 'max_depth': 6, 'max_features': 0.5, 'max_leaf_nodes': 150, 'min_samples_leaf': 1, 'n_estimators': 75}",41.59951651893634,40.87429492344883,41.29032258064516,41.350806451612904,43.770161290322584,41.77702035299316,1.0234807882561905,28,44.28542632533763,44.290465631929045,44.65437323659815,44.63925836356308,44.442765014107216,44.46245771430702,0.16087214102879507
7,0.5383742332458497,0.027314310015716995,0.10599265098571778,0.0032105196061345954,0,{1: 5},gini,6,0.5,200,1,75,"{'ccp_alpha': 0, 'class_weight': {1: 5}, 'criterion': 'gini', 'max_depth': 6, 'max_features': 0.5, 'max_leaf_nodes': 200, 'min_samples_leaf': 1, 'n_estimators': 75}",41.59951651893634,40.87429492344883,41.29032258064516,41.350806451612904,43.770161290322584,41.77702035299316,1.0234807882561905,28,44.28542632533763,44.290465631929045,44.65437323659815,44.63925836356308,44.442765014107216,44.46245771430702,0.16087214102879507
8,0.5607119083404541,0.004425179358830352,0.10503273010253907,0.0005700271502718076,0,{1: 5},gini,9,0.5,50,1,75,"{'ccp_alpha': 0, 'class_weight': {1: 5}, 'criterion': 'gini', 'max_depth': 9, 'max_features': 0.5, 'max_leaf_nodes': 50, 'min_samples_leaf': 1, 'n_estimators': 75}",42.7074939564867,40.49153908138598,41.79435483870968,40.82661290322581,43.54838709677419,41.87367757531647,1.1413014570442406,26,45.21265873815763,45.42934892158839,45.35973397823458,45.49576783555018,45.4403466344216,45.38757122159048,0.09757706356235456
9,0.603595781326294,0.03880187974512449,0.1049830436706543,0.000890946112304541,0,{1: 5},gini,9,0.5,100,1,75,"{'ccp_alpha': 0, 'class_weight': {1: 5}, 'criterion': 'gini', 'max_depth': 9, 'max_features': 0.5, 'max_leaf_nodes': 100, 'min_samples_leaf': 1, 'n_estimators': 75}",41.941982272361,39.222401289282836,41.693548387096776,39.45564516129032,43.125,41.087715422006184,1.5093299198377834,40,47.21830276154001,46.8252368474098,47.13321241434905,47.45566303909714,46.397621926642486,47.00600739780769,0.36503465776690736
