,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
713,0.11910991668701172,0.008572538933337802,0.007501554489135742,0.00041348995142598505,0.1,{1: 6},gini,,,10,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 6}, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'splitter': 'best'}",-19825.0,-19850.0,-19850.0,-19825.0,-19825.0,-19835.0,12.24744871391589,529,-79350.0,-79325.0,-79325.0,-79350.0,-79350.0,-79340.0,12.24744871391589
714,0.13930954933166503,0.0051990150507557654,0.007145452499389649,0.00018001479954849267,0.1,{1: 6},gini,,,20,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 6}, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': 20, 'min_samples_leaf': 1, 'splitter': 'best'}",-19825.0,-19850.0,-19850.0,-19825.0,-19825.0,-19835.0,12.24744871391589,529,-79350.0,-79325.0,-79325.0,-79350.0,-79350.0,-79340.0,12.24744871391589
715,0.16849017143249512,0.00722798123791386,0.007215356826782227,0.00025223989783569264,0.1,{1: 6},gini,,,40,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 6}, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': 40, 'min_samples_leaf': 1, 'splitter': 'best'}",-19825.0,-19850.0,-19850.0,-19825.0,-19825.0,-19835.0,12.24744871391589,529,-79350.0,-79325.0,-79325.0,-79350.0,-79350.0,-79340.0,12.24744871391589
716,0.26960201263427735,0.00725796358080213,0.0075457096099853516,0.00024590894926220126,0.1,{1: 6},gini,,0.7,,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 6}, 'criterion': 'gini', 'max_depth': None, 'max_features': 0.7, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'splitter': 'best'}",-19825.0,-19850.0,-19850.0,-19825.0,-19825.0,-19835.0,12.24744871391589,529,-79350.0,-79325.0,-79325.0,-79350.0,-79350.0,-79340.0,12.24744871391589
717,0.09628682136535645,0.0077331050355608855,0.007664155960083008,0.000467941112574566,0.1,{1: 6},gini,,0.7,10,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 6}, 'criterion': 'gini', 'max_depth': None, 'max_features': 0.7, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'splitter': 'best'}",-19825.0,-19850.0,-19850.0,-19825.0,-19825.0,-19835.0,12.24744871391589,529,-79350.0,-79325.0,-79325.0,-79350.0,-79350.0,-79340.0,12.24744871391589
718,0.10646162033081055,0.004124430702317548,0.007781505584716797,0.0009504535170377367,0.1,{1: 6},gini,,0.7,20,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 6}, 'criterion': 'gini', 'max_depth': None, 'max_features': 0.7, 'max_leaf_nodes': 20, 'min_samples_leaf': 1, 'splitter': 'best'}",-19825.0,-19850.0,-19850.0,-19825.0,-19825.0,-19835.0,12.24744871391589,529,-79350.0,-79325.0,-79325.0,-79350.0,-79350.0,-79340.0,12.24744871391589
719,0.12758111953735352,0.005265091323353098,0.0074787139892578125,0.0005013443749233634,0.1,{1: 6},gini,,0.7,40,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 6}, 'criterion': 'gini', 'max_depth': None, 'max_features': 0.7, 'max_leaf_nodes': 40, 'min_samples_leaf': 1, 'splitter': 'best'}",-19825.0,-19850.0,-19850.0,-19825.0,-19825.0,-19835.0,12.24744871391589,529,-79350.0,-79325.0,-79325.0,-79350.0,-79350.0,-79340.0,12.24744871391589
720,0.19874095916748047,0.008065705998492437,0.007452821731567383,0.0005926640977987514,0.1,{1: 10},gini,9,,,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
721,0.11420302391052246,0.003128252798545742,0.007310390472412109,0.00032507570216237954,0.1,{1: 10},gini,9,,10,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
722,0.1412046432495117,0.006312857048409539,0.007702922821044922,0.00041401594885298555,0.1,{1: 10},gini,9,,20,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'max_leaf_nodes': 20, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
