,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.20082540512084962,0.0029258478704792773,0.011811065673828124,0.0016415023519476938,0,{1: 1},gini,9,,,1,best,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'splitter': 'best'}",0.4692653673163418,0.4193296960249416,0.4459561602418745,0.42913697545526525,0.44985250737463134,0.4427081412826109,0.01730668132948877,1119,0.5627575871112777,0.5570741097208854,0.5697061039939714,0.573010116434434,0.560364464692483,0.5645824763906103,0.005912259976364049
1,0.166117525100708,0.0019286631223347644,0.010433197021484375,0.00014833253621517354,0,{1: 1},gini,9,,,200,best,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 200, 'splitter': 'best'}",0.41269841269841273,0.34813499111900537,0.4095004095004095,0.3745819397993311,0.4106280193236715,0.39110875448816607,0.0257108846884387,1475,0.4097682119205298,0.3733981440565621,0.41938110749185664,0.4165126309303758,0.4064059900166389,0.40509321688319266,0.016508806308213775
2,0.1730045795440674,0.01063446050602336,0.010902833938598634,0.00030538601637318394,0,{1: 1},gini,9,,,400,best,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 400, 'splitter': 'best'}",0.43485211830535575,0.3911257189811011,0.41401792991035047,0.3931762794476035,0.4185667752442997,0.4103477643777421,0.01640629476760427,1365,0.42661370407149957,0.424059545363106,0.41414346677504577,0.4202634245187436,0.40099833610648916,0.41721569536697684,0.009131164583634834
3,0.11757850646972656,0.004221082214122847,0.010520076751708985,0.00041559321297327055,0,{1: 1},gini,9,,10,1,best,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'splitter': 'best'}",0.47698113207547177,0.43124999999999997,0.43000773395204955,0.43378995433789946,0.4640122511485452,0.4472082143027932,0.019490372574826442,1071,0.4673141576391483,0.4590101280336327,0.44732765298218435,0.46514264122425847,0.443614931237721,0.456481902223389,0.009466755565632068
4,0.1213639259338379,0.00580432548270698,0.013076400756835938,0.005464466455020649,0,{1: 1},gini,9,,10,200,best,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'max_leaf_nodes': 10, 'min_samples_leaf': 200, 'splitter': 'best'}",0.43485211830535575,0.3911257189811011,0.41401792991035047,0.41574803149606304,0.4185667752442997,0.41486211478743407,0.013987413857775218,1352,0.42661370407149957,0.424059545363106,0.41414346677504577,0.44660571873176425,0.40099833610648916,0.42248415420958096,0.015050530627099424
5,0.11914000511169434,0.008321968687149952,0.010503435134887695,0.0005056763436323721,0,{1: 1},gini,9,,10,400,best,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'max_leaf_nodes': 10, 'min_samples_leaf': 400, 'splitter': 'best'}",0.43485211830535575,0.3911257189811011,0.41401792991035047,0.3931762794476035,0.4185667752442997,0.4103477643777421,0.01640629476760427,1365,0.42661370407149957,0.424059545363106,0.41414346677504577,0.4202634245187436,0.40099833610648916,0.41721569536697684,0.009131164583634834
6,0.14642224311828614,0.008616101644603592,0.010586690902709962,0.00039574787898315444,0,{1: 1},gini,9,,20,1,best,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'max_leaf_nodes': 20, 'min_samples_leaf': 1, 'splitter': 'best'}",0.48588410104011887,0.4394409937888199,0.47832369942196534,0.43378995433789946,0.4826568265682657,0.46401911503141385,0.022574096832999272,723,0.48341930729550475,0.4713497049305159,0.4939519768911356,0.46514264122425847,0.4689892802450229,0.47657058211728753,0.01062402419597604
7,0.13803319931030272,0.003414606093737615,0.01027069091796875,0.0003522638693676314,0,{1: 1},gini,9,,20,200,best,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'max_leaf_nodes': 20, 'min_samples_leaf': 200, 'splitter': 'best'}",0.43485211830535575,0.36583261432269193,0.43799058084772374,0.41574803149606304,0.43268482490272375,0.4174216339749117,0.02692246738574899,1338,0.42661370407149957,0.39652983495556493,0.4401484085139621,0.44660571873176425,0.4289137380191694,0.4277622808583921,0.01724298157795937
8,0.13785395622253419,0.010954403737749538,0.010546398162841798,0.00048309378076460393,0,{1: 1},gini,9,,20,400,best,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'max_leaf_nodes': 20, 'min_samples_leaf': 400, 'splitter': 'best'}",0.43485211830535575,0.3911257189811011,0.41401792991035047,0.3931762794476035,0.4185667752442997,0.4103477643777421,0.01640629476760427,1365,0.42661370407149957,0.424059545363106,0.41414346677504577,0.4202634245187436,0.40099833610648916,0.41721569536697684,0.009131164583634834
9,0.15344109535217285,0.006284608504683354,0.010864496231079102,0.0006036850324416321,0,{1: 1},gini,9,,40,1,best,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'max_leaf_nodes': 40, 'min_samples_leaf': 1, 'splitter': 'best'}",0.47320061255742724,0.4364508393285372,0.4782287822878229,0.4641221374045802,0.4782928623988226,0.466059046795438,0.015679083105184954,583,0.4898578199052133,0.4741985926505082,0.5084434654919235,0.4985107967237528,0.4952344643537934,0.4932490278250382,0.011286438567240898
